date,construction,manufacturing,retail_trade,total_nonfarm,transportation_warehousing,year,month,manufacturing_yoy_pct,retail_trade_yoy_pct,transportation_warehousing_yoy_pct,construction_yoy_pct,total_nonfarm_yoy_pct
2008-04-01,7327.0,13589.0,15396.7,138040.0,4546.8,2008,4,-2.5109405265800966,-0.5214054040084126,0.48176795580110454,-4.6708300806661445,0.14001030127606118
2008-05-01,7274.0,13555.0,15334.0,137851.0,4535.2,2008,5,-2.636115500646463,-1.0352127220156881,0.19441498762813314,-5.200052130848432,-0.1021798365122617
2008-06-01,7213.0,13494.0,15310.0,137700.0,4522.6,2008,6,-2.9418111199021824,-1.0898848094478275,-0.05082985259341477,-6.166254715753872,-0.2679800101397789
2008-07-01,7160.0,13419.0,15270.2,137497.0,4517.4,2008,7,-3.3282904689863835,-1.3756846129998945,-0.23189558073278826,-6.5274151436031325,-0.3962504708643566
2008-08-01,7114.0,13348.0,15209.3,137211.0,4500.4,2008,8,-3.4223283409304694,-1.774089382588484,-0.5216622458001807,-6.5177398160315425,-0.5811046785447749
2008-09-01,7044.0,13267.0,15143.5,136760.0,4464.8,2008,9,-3.7507254788160194,-2.253964770504824,-1.7861856577210733,-7.034446350798474,-0.9695942765697074
2008-10-01,6967.0,13138.0,15081.9,136291.0,4450.0,2008,10,-4.4925850537947065,-2.608195895594667,-2.0125952349495657,-7.9048248512888275,-1.3634883300162826
2008-11-01,6813.0,13026.0,14953.1,135541.0,4409.1,2008,11,-5.272343829539672,-3.837348390332984,-2.8533027805931366,-9.43772431210953,-1.987851616168923
2008-12-01,6701.0,12842.0,14847.5,134847.0,4382.2,2008,12,-6.528859451197322,-4.485129979993186,-3.390652557319229,-10.534045393858483,-2.563676433397155
2009-01-01,6567.0,12552.0,14763.8,134079.0,4358.5,2009,1,-8.493110738499677,-4.906122186080964,-3.951253911587116,-12.15890850722311,-3.1158095540894992
2009-02-01,6446.0,12371.0,14680.6,133318.0,4334.5,2009,2,-9.634769905040175,-5.228977573496185,-4.560066936762386,-13.51133771635583,-3.6225231151819193
2009-03-01,6291.0,12196.0,14594.3,132494.0,4301.0,2009,3,-10.652014652014651,-5.720967189710535,-5.314371257485018,-15.055360518498517,-4.169710470927757
2009-04-01,6154.0,12017.0,14530.6,131822.0,4255.3,2009,4,-11.568180145706087,-5.625231380750417,-6.411102313715144,-16.009280742459396,-4.504491451753112
2009-05-01,6100.0,11850.0,14514.9,131466.0,4237.4,2009,5,-12.578384360014748,-5.341724272857706,-6.566413829599583,-16.139675556777565,-4.631812609266528
2009-06-01,6010.0,11713.0,14501.7,131008.0,4219.8,2009,6,-13.198458574181116,-5.2795558458523795,-6.695263786317607,-16.67821988077083,-4.859840232389256
2009-07-01,5932.0,11654.0,14446.8,130662.0,4198.2,2009,7,-13.152992026231459,-5.392201804822472,-7.066011422499663,-17.150837988826815,-4.97101754947381
2009-08-01,5855.0,11612.0,14438.7,130472.0,4187.8,2009,8,-13.005693736889423,-5.066636860342022,-6.946049240067542,-17.697497891481582,-4.911413807930853
2009-09-01,5787.0,11580.0,14406.6,130246.0,4179.5,2009,9,-12.715760910529884,-4.86611417439825,-6.389983873857741,-17.844974446337314,-4.76308862240421
2009-10-01,5716.0,11527.0,14358.2,130061.0,4163.8,2009,10,-12.262140356218598,-4.79846703664657,-6.431460674157297,-17.956078656523612,-4.571101540087019
2009-11-01,5696.0,11498.0,14340.4,130057.0,4158.3,2009,11,-11.73038538307999,-4.09747811490594,-5.688235694359401,-16.395126963158667,-4.0460082189153095
2009-12-01,5654.0,11465.0,14309.1,129808.0,4108.4,2009,12,-10.722628874007167,-3.626199696918675,-6.248003286020721,-15.624533651693772,-3.7368276639450637
2010-01-01,5580.0,11447.0,14358.8,129802.0,4129.0,2010,1,-8.803377947737411,-2.743196196101272,-5.265573018240222,-15.029693924166288,-3.18991042594291
2010-02-01,5500.0,11439.0,14357.8,129706.0,4129.4,2010,2,-7.533748282273056,-2.1988202117079747,-4.731802976121823,-14.675767918088734,-2.7093115708306414
2010-03-01,5537.0,11439.0,14392.2,129866.0,4140.8,2010,3,-6.206953099376844,-1.3847872114455595,-3.724715182515692,-11.985375933873787,-1.9834860446510838
